reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
,1,,,,,NA,20190514,field,boat,NA,NA,transect tape,EM,(e.g.
,1,,,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
,2,,,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
,3,,,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
,1,,,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
,2,,,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
,3,,,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
,1,,,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,EM,
,2,,,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,EM,
,3,,,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,EM,
,1,,,,,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
,2,,,,,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
,3,,,,,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
,1,,,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EM,
,2,,,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EM,
,3,,,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EM,
,1,,,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EM,
,2,,,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EM,
,3,,,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EM,
,1,,,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EM,
,2,,,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EM,
,3,,,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EM,
,1,,,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EM,
,2,,,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EM,
,3,,,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EM,
,1,,,,,NA,20190514,field,boat,NA,NA,transect tape,EM,(e.g.
,1,,,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
,2,,,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
,3,,,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
,1,,,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
,2,,,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
